ID,Age,Income,Education,Marital_Status,Children,HasChildren,TotalSpend,TotalPurchases,AOV,Recency,TenureMonths,R_Score,F_Score,M_Score,RFM_Score,RFM_Label,Share_MntWines,Share_MntFruits,Share_MntMeatProducts,Share_MntFishProducts,Share_MntSweetProducts,Share_MntGoldProds,Share_NumWebPurchases,Share_NumCatalogPurchases,Share_NumStorePurchases,Share_NumDealsPurchases,WebConvRate_Approx,CLV_Proxy,AcceptedAnyCampaign,Response
5524,57,58138.0,Graduation,Single,0,0,1617.0,25.0,64.68,58,25.03,3,5,5,13,Loyal,0.39270253555967843,0.05442176870748299,0.33766233766233766,0.10636982065553494,0.05442176870748299,0.05442176870748299,0.32,0.4,0.16,0.12,1.1428571428571428,232.5689172992409,0,1
2174,60,46344.0,Graduation,Single,2,1,27.0,6.0,4.5,38,6.96,4,1,1,6,New Customers,0.4074074074074074,0.037037037037037035,0.2222222222222222,0.07407407407407407,0.037037037037037035,0.2222222222222222,0.16666666666666666,0.16666666666666666,0.3333333333333333,0.3333333333333333,0.2,13.96551724137931,0,0
4141,49,71613.0,Graduation,Together,0,0,776.0,21.0,36.95238095238095,26,13.5,4,4,4,12,Champions,0.5489690721649485,0.06314432989690721,0.163659793814433,0.14304123711340205,0.027061855670103094,0.05412371134020619,0.38095238095238093,0.09523809523809523,0.47619047619047616,0.047619047619047616,2.0,206.9333333333333,0,0
6182,30,26646.0,Graduation,Together,1,1,53.0,8.0,6.625,26,7.82,4,2,1,7,New Customers,0.20754716981132076,0.07547169811320754,0.37735849056603776,0.18867924528301888,0.05660377358490566,0.09433962264150944,0.25,0.0,0.5,0.25,0.3333333333333333,24.398976982097185,0,0
5324,33,58293.0,Phd,Married,1,1,422.0,19.0,22.210526315789473,94,8.54,1,4,3,8,Regulars,0.4099526066350711,0.1018957345971564,0.2796208530805687,0.10900473933649289,0.06398104265402843,0.035545023696682464,0.2631578947368421,0.15789473684210525,0.3157894736842105,0.2631578947368421,1.0,177.89227166276345,0,0
7446,47,62513.0,Master,Together,1,1,716.0,22.0,32.54545454545455,16,12.88,5,4,4,13,Champions,0.7262569832402235,0.05865921787709497,0.13687150837988826,0.0,0.05865921787709497,0.019553072625698324,0.2727272727272727,0.18181818181818182,0.45454545454545453,0.09090909090909091,1.0,200.12422360248448,0,0
965,43,55635.0,Graduation,Divorced,1,1,590.0,21.0,28.095238095238095,34,22.73,4,4,3,11,Loyal,0.3983050847457627,0.11016949152542373,0.27796610169491526,0.0847457627118644,0.08305084745762711,0.04576271186440678,0.3333333333333333,0.14285714285714285,0.3333333333333333,0.19047619047619047,1.1666666666666667,93.44478662560492,0,0
6177,29,33454.0,Phd,Married,1,1,169.0,10.0,16.9,32,16.95,4,2,2,8,New Customers,0.44970414201183434,0.05917159763313609,0.33136094674556216,0.01775147928994083,0.005917159763313609,0.13609467455621302,0.4,0.0,0.4,0.2,0.5,35.89380530973451,0,0
4855,40,30351.0,Phd,Together,1,1,46.0,6.0,7.666666666666667,19,16.0,5,1,1,7,New Customers,0.30434782608695654,0.0,0.5217391304347826,0.06521739130434782,0.06521739130434782,0.043478260869565216,0.5,0.0,0.3333333333333333,0.16666666666666666,0.3333333333333333,10.35,0,1
5899,64,7605.599999999999,Phd,Together,2,1,49.0,4.0,12.25,68,6.8,2,1,1,4,At Risk,0.5714285714285714,0.0,0.12244897959183673,0.02040816326530612,0.02040816326530612,0.2653061224489796,0.25,0.0,0.5,0.25,0.1111111111111111,25.941176470588236,1,0
1994,31,51381.5,Graduation,Married,1,1,19.0,4.0,4.75,11,10.68,5,1,1,7,New Customers,0.2631578947368421,0.2631578947368421,0.3157894736842105,0.0,0.10526315789473684,0.05263157894736842,0.25,0.0,0.5,0.25,0.14285714285714285,6.404494382022472,0,0
387,38,7605.599999999999,Basic,Married,0,0,61.0,6.0,10.166666666666666,59,22.73,3,1,2,6,Regulars,0.09836065573770492,0.26229508196721313,0.18032786885245902,0.18032786885245902,0.01639344262295082,0.26229508196721313,0.3333333333333333,0.0,0.5,0.16666666666666666,0.25,9.661240651121865,0,0
2125,55,63033.0,Graduation,Divorced,0,0,1101.8000000000002,16.0,68.86250000000001,82,10.68,1,3,4,8,Regulars,0.17607551279724085,0.05536394990016336,0.4356507533127609,0.20402976946814314,0.1016518424396442,0.027228172082047555,0.1875,0.25,0.5,0.0625,1.5,371.3932584269664,0,0
